Date;Period;Id;Name;TotalHeat;PercentageUsed;TotalCO2;TotalCost
01-03-2024 00:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;368,56
01-03-2024 00:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 00:00;Winter;4;Heat Pump 1;0,12;2,00;0,00;150,11
01-03-2024 01:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;463,17
01-03-2024 01:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 01:00;Winter;4;Heat Pump 1;0,35;5,83;0,00;425,09
01-03-2024 02:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;562,83
01-03-2024 02:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 02:00;Winter;4;Heat Pump 1;0,48;8,00;0,00;564,59
01-03-2024 03:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;602,09
01-03-2024 03:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 03:00;Winter;4;Heat Pump 1;0,54;9,00;0,00;627,00
01-03-2024 04:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;640,78
01-03-2024 04:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 04:00;Winter;4;Heat Pump 1;1,22;20,33;0,00;1398,41
01-03-2024 05:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;580,22
01-03-2024 05:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 05:00;Winter;4;Heat Pump 1;1,35;22,50;0,00;1578,87
01-03-2024 06:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;65,76
01-03-2024 06:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 06:00;Winter;4;Heat Pump 1;1,65;27,50;0,00;2256,21
01-03-2024 07:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;-339,58
01-03-2024 07:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 07:00;Winter;4;Heat Pump 1;1,12;18,67;0,00;1706,10
01-03-2024 08:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;-717,83
01-03-2024 08:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 08:00;Winter;4;Heat Pump 1;1,05;17,50;0,00;1752,22
01-03-2024 09:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;59,78
01-03-2024 09:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 09:00;Winter;4;Heat Pump 1;1,10;18,33;0,00;1506,67
01-03-2024 10:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;988,47
01-03-2024 10:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 10:00;Winter;4;Heat Pump 1;1,25;20,83;0,00;1265,64
01-03-2024 11:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1169,38
01-03-2024 11:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 11:00;Winter;4;Heat Pump 1;0,56;9,33;0,00;528,04
01-03-2024 12:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1228,19
01-03-2024 12:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 12:00;Winter;4;Heat Pump 1;0,18;3,00;0,00;165,66
01-03-2024 13:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1242,31
01-03-2024 13:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 13:00;Winter;4;Heat Pump 1;0,23;3,83;0,00;210,42
01-03-2024 14:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1254,69
01-03-2024 14:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 14:00;Winter;4;Heat Pump 1;0,34;5,67;0,00;309,44
01-03-2024 15:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1038,97
01-03-2024 15:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 15:00;Winter;4;Heat Pump 1;0,80;13,33;0,00;794,47
01-03-2024 16:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;986,52
01-03-2024 16:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 16:00;Winter;4;Heat Pump 1;0,89;14,83;0,00;901,80
01-03-2024 17:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;992,14
01-03-2024 17:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 17:00;Winter;4;Heat Pump 1;1,18;19,67;0,00;1193,10
01-03-2024 18:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1475,45
01-03-2024 18:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 18:00;Winter;4;Heat Pump 1;0,88;14,67;0,00;726,18
01-03-2024 19:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1602,18
01-03-2024 19:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 19:00;Winter;4;Heat Pump 1;0,90;15,00;0,00;698,82
01-03-2024 20:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1654,62
01-03-2024 20:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 20:00;Winter;4;Heat Pump 1;1,06;17,67;0,00;801,68
01-03-2024 21:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1735,12
01-03-2024 21:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 21:00;Winter;4;Heat Pump 1;1,19;19,83;0,00;863,15
01-03-2024 22:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1739,74
01-03-2024 22:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 22:00;Winter;4;Heat Pump 1;1,16;19,33;0,00;839,33
01-03-2024 23:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1809,40
01-03-2024 23:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 23:00;Winter;4;Heat Pump 1;1,04;17,33;0,00;724,64
02-03-2024 00:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1865,19
02-03-2024 00:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 00:00;Winter;4;Heat Pump 1;1,08;18,00;0,00;729,33
02-03-2024 01:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1933,89
02-03-2024 01:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 01:00;Winter;4;Heat Pump 1;1,18;19,67;0,00;765,69
02-03-2024 02:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 02:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1962,51
02-03-2024 02:00;Winter;4;Heat Pump 1;1,21;20,17;0,00;771,83
02-03-2024 03:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 03:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1963,08
02-03-2024 03:00;Winter;4;Heat Pump 1;1,20;20,00;0,00;765,19
02-03-2024 04:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1948,78
02-03-2024 04:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 04:00;Winter;4;Heat Pump 1;1,66;27,67;0,00;1067,65
02-03-2024 05:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1858,23
02-03-2024 05:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 05:00;Winter;4;Heat Pump 1;1,95;32,50;0,00;1322,08
02-03-2024 06:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1829,00
02-03-2024 06:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 06:00;Winter;4;Heat Pump 1;2,01;33,50;0,00;1385,35
02-03-2024 07:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1673,44
02-03-2024 07:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 07:00;Winter;4;Heat Pump 1;1,29;21,50;0,00;966,29
02-03-2024 08:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1463,88
02-03-2024 08:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 08:00;Winter;4;Heat Pump 1;1,14;19,00;0,00;945,81
02-03-2024 09:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1377,59
02-03-2024 09:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 09:00;Winter;4;Heat Pump 1;1,21;20,17;0,00;1044,05
02-03-2024 10:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1433,31
02-03-2024 10:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 10:00;Winter;4;Heat Pump 1;1,14;19,00;0,00;959,22
02-03-2024 11:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1601,06
02-03-2024 11:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 11:00;Winter;4;Heat Pump 1;0,49;8,17;0,00;380,68
02-03-2024 12:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1664,34
02-03-2024 12:00;Winter;1;Gas Boiler 2;2,89;96,33;125,23;1618,40
02-03-2024 12:00;Winter;4;Heat Pump 1;0,00;0,00;0,00;0,00
